RMPDn, Barawa or Kafi or Soora Malhar or Jinjhoti
RMPNS, Vrindavani Sarang or Des or Soora Malhar or Sorath or Tilakakamod
RMPgR, Jaunpuri
RMPdM, Jaunpuri
RMPdP, Jaunpuri
RMPdn, Adana or Darbari Kanada or Jaunpuri
RMPnS, Madmaad Sarang or Nayaki Kanada
RMPnP, Madmaad Sarang or Nayaki Kanada
RMDnS, Gorakh Kalyan
RMDnD, Gorakh Kalyan
RMgRS, Barawa or Kafi
RMgMR, Darbari Kanada
RMgMP, Darbari Kanada
RMgMg, Darbari Kanada
RPGPD, Gaud Malhar
RPMGR, Gaud Malhar
RPMPG, Gaud Malhar
RPMPM, Gaud Malhar
RPMPD, Gaud Malhar
RPMPn, Gaud Malhar
RPDPM, Gaud Malhar
RPgMR, Malhar
RPnDN, Gaud Malhar or Malhar
RgRSR, Jaijaivanti
RgRSn, Jaijaivanti
RgMRS, Shahanakanada
RgMPM, Kirvani
RgMPg, Shahanakanada
RgMPd, Kirvani
RgMDS, Abhogi
RgMDM, Abhogi
RgMDn, Shahanakanada
RgMrS, Bhairavi
RgMdn, Bhairavi
RgPDS, Shivaranjani
RgPDP, Kolahas or Shivaranjani
RgPDn, Kolahas
RgrSR, Bhairavi
RgrSg, Bhairavi
RgrSn, Bhairavi
RmPGM, Shyam Kalyan
RmPDS, Saraswati
RmPDP, Kamod or Saraswati
RmPNS, Shuddha Sarang or Shyam Kalyan
RmPND, Shuddha Sarang or Shyam Kalyan
GSRGS, Tilakakamod
GSRMP, Des or Tilakakamod or Jinjhoti
GSGMD, Bhinna Shadja
GSGPD, Kalavati
GSGmP, Amritvarshini
GSGmD, Hindol
GSMRS, Jinjhoti
GSMRM, Jinjhoti
GSPDM, Tilakakamod
GSNPm, Amritvarshini
GSNDM, Bhinna Shadja
GSNDm, Hindol
GSnDM, Des or Jinjhoti
GSnDP, Kalavati
GRGSR, Des
GRGSn, Des
GRGRS, Shankara
GRGMP, Charukeshi or Chhayanat or Jaijaivanti
GRGPM, Bilawal
GRGPD, Bhoopali or Bilawal or Deshkar or Janasammohini or Shuddha Kalyan
GRGPN, Hansadhwani
GRGmD, Rajakalyan or Yaman or Yaman Kalyan
GRMPN, Des
GRPMP, Gaud Malhar
GRgRS, Jaijaivanti
GRgRG, Jaijaivanti
GRgRg, Jaijaivanti
GMRSR, Kamod or Shyam Kalyan
GMRSG, Hameer
GMRSD, Kamod
GMRSN, Hameer or Shyam Kalyan
GMGRS, Bihag or Bihagda or Charukeshi or Chhayanat or Khamaj or Mand or Nat Bhairav or Rageshri or Tilanga or Yaman Kalyan
GMGRG, Yaman Kalyan
GMGRg, Jaijaivanti
GMGMG, Ahir Bhairav or Bhairav or Nat Bhairav
GMGMP, Ahir Bhairav or Bhairav or Nat Bhairav
GMGMD, Nand
GMGPG, Bhatiyar
GMGrS, Ahir Bhairav or Bhairav or Kalingada or Lalat or Paraj or Poorvi or Ramakali
GMGrG, Ahir Bhairav or Bhairav or Poorvi
GMPDP, Ahir Bhairav or Khamaj or Mand or Nand
GMPDN, Mand or Nand
GMPDn, Ahir Bhairav or Khamaj
GMPNS, Bihag or Bihagda or Jaijaivanti or Tilanga
GMPND, Bihag or Bihagda
GMPmP, Chhayanat
GMPmD, Chhayanat
GMPdP, Bhairav or Charukeshi or Kalingada or Nat Bhairav
GMPdN, Bhairav or Kalingada or Nat Bhairav
GMPdn, Charukeshi
GMPnS, Jog
GMPnP, Jog or Ramadasimalhar
GMPnD, Ramadasimalhar
GMDPS, Nand
GMDPM, Nand
GMDPD, Nand
GMDNS, Bhinna Shadja
GMDND, Bhinna Shadja
GMDnS, Rageshri
GMDnD, Rageshri
GMNDP, Hameer
GMNDN, Hameer
GMdNS, Jogkauns or Lalat or Ramakali
GMdNd, Jogkauns or Ramakali
GPRGR, Shankara
GPRGP, Shankara
GPGRS, Bhoopali or Deshkar or Hansadhwani or Janasammohini
GPGPR, Shankara
GPGPD, Gaud Malhar
GPGrS, Bhatiyar or Bibhas or Jait
GPGrG, Bhatiyar
GPGrN, Bhatiyar
GPMRS, Kedar
GPMGR, Bilawal or Gaud Malhar
GPMGP, Bhatiyar
GPMPn, Gaud Malhar
GPMgR, Barawa
GPDSR, Bhoopali or Deshkar or Shuddha Kalyan
GPDSD, Bhoopali or Deshkar or Jait
GPDSN, Shuddha Kalyan
GPDSr, Jait
GPDPG, Gaud Malhar
GPDPM, Gaud Malhar or Kedar
GPDPD, Gaud Malhar
GPDPn, Gaud Malhar
GPDNS, Bilawal
GPDND, Bilawal
GPDnS, Janasammohini or Kalavati
GPDnD, Barawa or Janasammohini or Kalavati
GPNSR, Hansadhwani
GPNSN, Hansadhwani
GPNDS, Shankara
GPgRM, Barawa
GPmGR, Shuddha Kalyan
GPmPM, Kedar
GPmPD, Kedar
GPmPN, Kedar
GPmPm, Kedar
GPdSr, Bibhas
GPdSd, Bibhas
GPnDN, Gaud Malhar
GrSND, Pooriya
GrGMP, Ahir Bhairav or Bhairav or Kalingada
GrGPD, Jait
GrGPd, Bibhas
GrGrS, Pooriya
GrGmD, Marwa or Pooriya
GrGmd, Pooriya Dhanashree or Poorvi
GrMPd, Jogiya
GrNDP, Bhatiyar
GrNDm, Marwa
GrNdP, Pooriya Dhanashree or Shree
GrmPN, Shree
GmGRS, Marubihag or Rajakalyan or Yaman
GmGMG, Paraj or Poorvi or Yaman Kalyan
GmGrS, Basant or Marwa or Pooriya Dhanashree or Sohani
GmGmG, Basant
GmGmr, Pooriya
GmGmd, Basant
GmPNS, Amritvarshini or Marubihag
GmPNP, Amritvarshini
GmPND, Marubihag
GmDNS, Hindol or Rajakalyan or Sohani or Yaman or Yaman Kalyan
GmDNR, Rajakalyan or Yaman or Yaman Kalyan
GmDND, Hindol or Marwa or Pooriya or Rajakalyan or Sohani or Yaman or Yaman Kalyan
GmDNr, Marwa or Pooriya
GmrGr, Pooriya
GmrGm, Pooriya
GmdNS, Basant or Pooriya Dhanashree or Poorvi
GmdNr, Pooriya Dhanashree or Poorvi
GmdNd, Basant or Paraj or Pooriya Dhanashree or Poorvi
MRGMP, Ramadasimalhar
MRMPM, Gorakh Kalyan
MRMPD, Durga or Soora Malhar or Jinjhoti
MRMPN, Vrindavani Sarang or Sorath
MRMPd, Adana
MRMPn, Madmaad Sarang or Nayaki Kanada
MRMDn, Gorakh Kalyan
MRMgM, Darbari Kanada
MRPMR, Gaud Malhar
MRPMG, Gaud Malhar
MRPMP, Gaud Malhar
MRPnP, Malhar
MRPnD, Malhar
MRgMP, Shahanakanada
MRmPD, Kamod
MRmPN, Shuddha Sarang or Shyam Kalyan
MGSRG, Tilakakamod
MGSRM, Tilakakamod
MGSMR, Jinjhoti
MGSMG, Jinjhoti
MGSMP, Jinjhoti
MGRSR, Charukeshi or Chhayanat
MGRSG, Bihag or Bihagda or Bilawal or Khamaj or Mand or Nat Bhairav or Rageshri or Tilanga
MGRSM, Gaud Malhar
MGRSN, Bihag or Bihagda or Bilawal or Chhayanat or Mand or Nat Bhairav or Yaman Kalyan
MGRSn, Charukeshi or Gaud Malhar or Khamaj or Rageshri or Tilanga
MGRGS, Des
MGRGR, Des
MGRGP, Bilawal
MGRgR, Jaijaivanti
MGMGR, Bihag or Bihagda or Nat Bhairav or Tilanga or Yaman Kalyan
MGMGM, Ahir Bhairav or Bhairav or Nat Bhairav
MGMGr, Ahir Bhairav or Bhairav or Paraj or Poorvi or Ramakali
MGMPD, Ahir Bhairav or Khamaj or Mand or Nand
MGMPN, Bihag or Bihagda or Jaijaivanti or Tilanga
MGMPm, Chhayanat
MGMPd, Bhairav or Charukeshi or Kalingada or Nat Bhairav
MGMPn, Jog
MGMDP, Nand
MGMDN, Bhinna Shadja or Nand
MGMDn, Rageshri
MGMdN, Jogkauns or Ramakali
MGPGM, Bhatiyar
MGPGP, Bhatiyar
MGPGr, Bhatiyar
MGPMG, Barawa
MGPMP, Barawa
MGPMg, Barawa
MGPDP, Gaud Malhar
MGPDN, Bilawal
MGPmP, Kedar
MGrSG, Paraj or Ramakali
MGrSN, Bhairav or Jogiya or Kalingada or Lalat or Paraj or Poorvi or Ramakali
MGrSr, Ahir Bhairav or Bhairav or Jogiya or Kalingada
MGrSn, Ahir Bhairav
MGmGr, Basant
MGmGm, Basant
MGmPN, Marubihag
MGmPm, Marubihag
MGmDN, Yaman Kalyan
MGmdP, Basant
MGmdN, Basant or Paraj or Poorvi
MMMrS, Bairagi
MMPnS, Bairagi
MMrSr, Bairagi
MMrSn, Bairagi
MPGMG, Bihag or Bihagda or Tilanga
MPGPD, Gaud Malhar
MPMRS, Vrindavani Sarang or Durga or Gorakh Kalyan or Madmaad Sarang or Nand or Soora Malhar
MPMRM, Gorakh Kalyan
MPMGR, Charukeshi or Chhayanat or Gaud Malhar or Jaijaivanti or Khamaj or Mand
MPMGM, Ahir Bhairav or Bhairav or Nand or Nat Bhairav
MPMGr, Jogiya or Kalingada
MPMMr, Bairagi
MPMPg, Bhairavi or Bhimpalasi
MPMPn, Gaud Malhar
MPMrS, Gunakali
MPMgS, Dhani
MPMgR, Barawa or Kafi or Kirvani or Patadeep
MPPmD, Chhayanat
MPDSR, Durga
MPDSD, Durga
MPDMR, Sorath
MPDMG, Des or Tilakakamod
MPDMP, Bageshree or Des
MPDMD, Bageshree
MPDMg, Bageshree
MPDPM, Gaud Malhar
MPDNS, Chhayanat or Mand
MPDNP, Nand
MPDND, Mand or Nand
MPDnS, Ahir Bhairav or Khamaj
MPDnD, Ahir Bhairav or Barawa or Bihagda or Kafi or Khamaj or Soora Malhar or Jinjhoti
MPNSR, Vrindavani Sarang or Des or Jaijaivanti or Soora Malhar or Sorath or Tilakakamod
MPNSG, Bihag or Bihagda or Tilanga
MPNSP, Tilakakamod
MPNSN, Bihag or Bihagda or Patadeep
MPNSg, Patadeep
MPNSn, Vrindavani Sarang or Des or Jaijaivanti or Soora Malhar or Sorath or Tilanga
