
Srgmd, Gujari Todi or Todi
SrmGr, Shree
SrmPS, Shree
SrmPG, Shree
SrmPP, Shree
SrmPN, Shree
SrmPr, Shree
SrmPm, Shree
SrmPd, Shree
SrndM, Bilaskhani Todi
SgRMG, Barawa
SgMRS, Adana or Bahaar or Darbari Kanada or Malhar or Nayaki Kanada or Ramadasimalhar or Shahanakanada
SgMPS, Bhimpalasi or Dhani or Patadeep
SgMPR, Bhimpalasi or Patadeep
SgMPM, Bhimpalasi or Dhani or Patadeep
SgMPP, Bhimpalasi or Dhani or Patadeep
SgMPD, Bageshree or Bhimpalasi or Patadeep
SgMPN, Patadeep
SgMPg, Bhairavi or Bhimpalasi or Dhani or Patadeep or Shahanakanada
SgMPd, Darbari Kanada or Kirvani
